Parameters;Mean Accuracy;Test on (200, 6, 0.2, 0.8, 1.0, 0.8)
{'xgb__n_estimators': 100, 'xgb__max_depth': 9, 'xgb__learning_rate': 0.1, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.8};0.5392843251653053;
{'xgb__n_estimators': 100, 'xgb__max_depth': 9, 'xgb__learning_rate': 0.1, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.8};0.5385064177362894;
{'xgb__n_estimators': 100, 'xgb__max_depth': 9, 'xgb__learning_rate': 0.2, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.8};0.5328665888759238;
{'xgb__n_estimators': 100, 'xgb__max_depth': 9, 'xgb__learning_rate': 0.2, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.8};0.5462206664073642;
{'xgb__n_estimators': 100, 'xgb__max_depth': 9, 'xgb__learning_rate': 0.2, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.8};0.5366264747828343;
{'xgb__n_estimators': 100, 'xgb__max_depth': 9, 'xgb__learning_rate': 0.2, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.8};0.5387008945935433;
{'xgb__n_estimators': 200, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.01, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.8};0.5169194865810969;
{'xgb__n_estimators': 200, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.01, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.8};0.5118630882924932;
{'xgb__n_estimators': 200, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.01, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.8};0.5162064047711655;
{'xgb__n_estimators': 200, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.01, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.8};0.5085569817191754;
{'xgb__n_estimators': 200, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.1, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.8};0.5315700764942305;
{'xgb__n_estimators': 200, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.1, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.8};0.5304032153507066;
{'xgb__n_estimators': 200, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.1, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.8};0.5256061195384416;
{'xgb__n_estimators': 200, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.1, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.8};0.5210035005834306;
{'xgb__n_estimators': 200, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.2, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.8};0.5368857772591729;
{'xgb__n_estimators': 200, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.2, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.8};0.5314404252560613;
{'xgb__n_estimators': 200, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.2, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.8};0.5273564112537275;
{'xgb__n_estimators': 200, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.2, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.8};0.5228834435368858;
{'xgb__n_estimators': 200, 'xgb__max_depth': 6, 'xgb__learning_rate': 0.01, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.8};0.534357578114871;
{'xgb__n_estimators': 200, 'xgb__max_depth': 6, 'xgb__learning_rate': 0.01, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.8};0.5191235576299754;
{'xgb__n_estimators': 200, 'xgb__max_depth': 6, 'xgb__learning_rate': 0.01, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.8};0.5262543757292882;
{'xgb__n_estimators': 200, 'xgb__max_depth': 6, 'xgb__learning_rate': 0.01, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.8};0.5141319849604563;
{'xgb__n_estimators': 200, 'xgb__max_depth': 6, 'xgb__learning_rate': 0.1, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.8};0.5372747309736808;
{'xgb__n_estimators': 200, 'xgb__max_depth': 6, 'xgb__learning_rate': 0.1, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.8};0.5453131077401789;
{'xgb__n_estimators': 200, 'xgb__max_depth': 6, 'xgb__learning_rate': 0.1, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.8};0.5440814209775703;
{'xgb__n_estimators': 200, 'xgb__max_depth': 6, 'xgb__learning_rate': 0.1, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.8};0.5425904317386231;
{'xgb__n_estimators': 200, 'xgb__max_depth': 6, 'xgb__learning_rate': 0.2, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.8};0.539932581356152;
{'xgb__n_estimators': 200, 'xgb__max_depth': 6, 'xgb__learning_rate': 0.2, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.8};0.5545831712692856;
{'xgb__n_estimators': 200, 'xgb__max_depth': 6, 'xgb__learning_rate': 0.2, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.8};0.5309866459224685;
{'xgb__n_estimators': 200, 'xgb__max_depth': 6, 'xgb__learning_rate': 0.2, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.8};0.55088811098146;
{'xgb__n_estimators': 200, 'xgb__max_depth': 9, 'xgb__learning_rate': 0.01, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.8};0.5294956566835213;
{'xgb__n_estimators': 200, 'xgb__max_depth': 9, 'xgb__learning_rate': 0.01, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.8};0.5230130947750551;
{'xgb__n_estimators': 200, 'xgb__max_depth': 9, 'xgb__learning_rate': 0.01, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.8};0.52878257487359;
{'xgb__n_estimators': 200, 'xgb__max_depth': 9, 'xgb__learning_rate': 0.01, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.8};0.5135485543886945;
{'xgb__n_estimators': 200, 'xgb__max_depth': 9, 'xgb__learning_rate': 0.1, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.8};0.5407104887851678;
{'xgb__n_estimators': 200, 'xgb__max_depth': 9, 'xgb__learning_rate': 0.1, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.8};0.5406456631660831;
{'xgb__n_estimators': 200, 'xgb__max_depth': 9, 'xgb__learning_rate': 0.1, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.8};0.5384415921172048;
{'xgb__n_estimators': 200, 'xgb__max_depth': 9, 'xgb__learning_rate': 0.1, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.8};0.5415532218332685;
{'xgb__n_estimators': 200, 'xgb__max_depth': 9, 'xgb__learning_rate': 0.2, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.8};0.5350058343057177;
{'xgb__n_estimators': 200, 'xgb__max_depth': 9, 'xgb__learning_rate': 0.2, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.8};0.5462854920264489;
{'xgb__n_estimators': 200, 'xgb__max_depth': 9, 'xgb__learning_rate': 0.2, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.8};0.5352651367820562;
{'xgb__n_estimators': 200, 'xgb__max_depth': 9, 'xgb__learning_rate': 0.2, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.8};0.5416828730714379;
