Parameters;Mean Accuracy;Test on (200, 6, 0.2, 0.8, 1.0, 0.7)
{'xgb__n_estimators': 100, 'xgb__max_depth': 9, 'xgb__learning_rate': 0.1, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.7};0.5350706599248022;
{'xgb__n_estimators': 100, 'xgb__max_depth': 9, 'xgb__learning_rate': 0.1, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.7};0.5335148450667705;
{'xgb__n_estimators': 100, 'xgb__max_depth': 9, 'xgb__learning_rate': 0.2, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.7};0.538765720212628;
{'xgb__n_estimators': 100, 'xgb__max_depth': 9, 'xgb__learning_rate': 0.2, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.7};0.5390250226889667;
{'xgb__n_estimators': 100, 'xgb__max_depth': 9, 'xgb__learning_rate': 0.2, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.7};0.5334500194476858;
{'xgb__n_estimators': 100, 'xgb__max_depth': 9, 'xgb__learning_rate': 0.2, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.7};0.5293660054453521;
{'xgb__n_estimators': 200, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.01, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.7};0.5083625048619215;
{'xgb__n_estimators': 200, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.01, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.7};0.5129002981978478;
{'xgb__n_estimators': 200, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.01, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.7};0.513807856865033;
{'xgb__n_estimators': 200, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.01, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.7};0.5093997147672761;
{'xgb__n_estimators': 200, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.1, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.7};0.5202255931544146;
{'xgb__n_estimators': 200, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.1, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.7};0.5193828601063141;
{'xgb__n_estimators': 200, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.1, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.7};0.510177622196292;
{'xgb__n_estimators': 200, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.1, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.7};0.5121223907688318;
{'xgb__n_estimators': 200, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.2, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.7};0.5171787890574354;
{'xgb__n_estimators': 200, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.2, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.7};0.5190587320108907;
{'xgb__n_estimators': 200, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.2, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.7};0.5045377933359264;
{'xgb__n_estimators': 200, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.2, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.7};0.5125113444833398;
{'xgb__n_estimators': 200, 'xgb__max_depth': 6, 'xgb__learning_rate': 0.01, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.7};0.524179955918579;
{'xgb__n_estimators': 200, 'xgb__max_depth': 6, 'xgb__learning_rate': 0.01, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.7};0.5082976792428368;
{'xgb__n_estimators': 200, 'xgb__max_depth': 6, 'xgb__learning_rate': 0.01, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.7};0.5216517567742772;
{'xgb__n_estimators': 200, 'xgb__max_depth': 6, 'xgb__learning_rate': 0.01, 'xgb__subsample': 1.0, 'xgb__colsample_bytree': 1.0, 'pca__n_components': 0.7};0.5105017502917152;
{'xgb__n_estimators': 200, 'xgb__max_depth': 6, 'xgb__learning_rate': 0.1, 'xgb__subsample': 0.8, 'xgb__colsample_bytree': 0.8, 'pca__n_components': 0.7};0.529171528588098;
